Page113
Gender, race, age, count
Male, asian or Pacific Islander, 60 to 64, 576
Male, other, 60 to 64, 179

male, white, 65 to 69, 77083
Male, black, 65 to 69, 17097
Male, "American Indian, eskimo or aleut",65 to 69, 138
Male, asian or Pacific Islander, 65 to 69, 345
Male, other, 65 to 69, 108

male, white, 70 to 74, 55872
Male, black, 70 to 74, 13113
Male, "American Indian, eskimo or aleut",70 to 74, 53
Male, asian or Pacific Islander, 70 to 74, 232
Male, other, 70 to 74, 61

male, white, 75 to 79,36728
Male, black, 75 to 79, 9755
Male, "American Indian, eskimo or aleut",75 to 79, 48
Male, asian or Pacific Islander, 75 to 79, 147
Male, other, 75 to 79, 41

male, white, 80 to 84, 19925
Male, black, 80 to 84, 5438
Male, "American Indian, eskimo or aleut",80 to 84, 22
Male, asian or Pacific Islander, 80 to 84, 65
Male, other, 80 to 84, 11

male, white, 85<=, 10827
Male, black, 85<=, 3358
Male, "American Indian, eskimo or aleut",85<=, 14
Male, asian or Pacific Islander, 85<=, 23
Male, other, 85<=, 13

Female, white, under 5, 153442
Female, black, under 5, 82568
Female, "American Indian, eskimo or aleut", under 5, 415
Female, asian or Pacific Islander, under 5,  3052
Female, other, under 5, 2383

Female, white, 5 to 9, 151485
Female, black, 5 to 9, 79859
Female, "American Indian, eskimo or aleut", 5 to 9, 458
Female, asian or Pacific Islander, 5 to 9,  3283
Female, other, 5 to 9, 1772

Female, white, 10 to 14, 144721
Female, black, 10 to 14, 78323
Female, "American Indian, eskimo or aleut", 10 to 14, 479
Female, asian or Pacific Islander,  10 to 14, 2946
Female, other,  10 to 14, 1333

Female, white, 15 to 19, 157926 
Female, black,  15 to 19, 78796
Female, "American Indian, eskimo or aleut",  15 to 19, 472
Female, asian or Pacific Islander,  15 to 19,3170
Female, other,  15 to 19,1586

Female, white, 20 to 24, 173235
Female, black, 20 to 24, 80520
Female, "American Indian, eskimo or aleut", 20 to 24, 545
Female, asian or Pacific Islander, 20 to 24,3246
Female, other, 20 to 24, 2270

Female, white, 25 to 29, 200857
Female, black, 25 to 29, 88718
Female, "American Indian, eskimo or aleut", 25 to 29, 639
Female, asian or Pacific Islander, 25 to 29, 4056
Female, other, 25 to 29, 2190

Female, white, 30 to 34, 203717
Female, black, 30 to 34, 87091
Female, "American Indian, eskimo or aleut", 30 to 34, 700
Female, asian or Pacific Islander, 30 to 34, 4569
Female, other, 30 to 34, 1770

Female, white, 35 to 39, 189832
Female, black, 35 to 39, 76591
Female, "American Indian, eskimo or aleut", 35 to 39, 664
Female, asian or Pacific Islander, 35 to 39, 4271
Female, other, 35 to 39, 1143

Female, white, 40 to 44, 182501
Female, black, 40 to 44, 60512
Female, "American Indian, eskimo or aleut", 40 to 44, 560
Female, asian or Pacific Islander, 40 to 44, 3555
Female, other, 40 to 44, 788

Female, white, 45 to 49, 145140
Female, black, 45 to 49, 42270
Female, "American Indian, eskimo or aleut", 45 to 49, 374
Female, asian or Pacific Islander, 45 to 49, 2243
Female, other, 45 to 49, 466

Female, white, 50 to 54, 115163
Female, black, 50 to 54, 33745
Female, "American Indian, eskimo or aleut", 50 to 54, 274
Female, asian or Pacific Islander, 50 to 54, 1468
Female, other, 50 to 54, 313

Female, white, 55 to 59, 105277
Female, black, 55 to 59, 29205
Female, "American Indian, eskimo or aleut", 55 to 59, 206
Female, asian or Pacific Islander, 55 to 59, 1167
Female, other, 55 to 59, 243

Female, white, 60 to 64, 100839
Female, black, 60 to 64, 27356
Female, "American Indian, eskimo or aleut",60 to 64, 167
Female, asian or Pacific Islander, 60 to 64, 862
Female, other, 60 to 64, 173

Female, white, 65 to 69, 97018
Female, black, 65 to 69, 25507
Female, "American Indian, eskimo or aleut",65 to 69, 143
Female, asian or Pacific Islander, 65 to 69, 526
Female, other, 65 to 69, 113

Female, white, 70 to 74, 78693
Female, black, 70 to 74, 21434
Female, "American Indian, eskimo or aleut",70 to 74, 104
Female, asian or Pacific Islander, 70 to 74, 343
Female, other, 70 to 74, 68

Female, white, 75 to 79, 63541
Female, black, 75 to 79, 17924
Female, "American Indian, eskimo or aleut",75 to 79, 77
Female, asian or Pacific Islander, 75 to 79, 219
Female, other, 75 to 79, 46

Female, white, 80 to 84, 43358
Female, black, 80 to 84, 11445
Female, "American Indian, eskimo or aleut",80 to 84, 48
Female, asian or Pacific Islander, 80 to 84, 106
Female, other, 80 to 84, 31

Female, white, 85<=, 33556
Female, black, 85<=, 9333
Female, "American Indian, eskimo or aleut",85<=, 36
Female, asian or Pacific Islander, 85<=, 63
Female, other, 85<=, 21

